sq_candidato,Position,Candidate,Party,sum_votes,count_local,min_abs_votes,max_abs_votes,min_prop_votes,max_prop_votes
190001905871,Councilman/Councilwoman,LUAN LENNON - 22002 (PL),22 - PL,4208,1190,1,40,0.02,1.26
190001905872,Councilman/Councilwoman,COMANDANTE RIBEIRO AFONSO - 22789 (PL),22 - PL,1790,666,1,18,0.01,1.01
190001905873,Councilman/Councilwoman,MARCOS BRAZ - 22111 (PL),22 - PL,8151,1321,1,155,0.03,6.79
190001905874,Councilman/Councilwoman,CHIQUINHO TRINDADE - 22150 (PL),22 - PL,605,305,1,18,0.01,0.69
190001905875,Councilman/Councilwoman,JEREMIAS DI CAETÉS - 22021 (PL),22 - PL,4237,1099,1,48,0.02,1.48
190001905876,Councilman/Councilwoman,KEILA ACABA NÃO MUNDÃO - 22120 (PL),22 - PL,2470,849,1,73,0.02,2.76
190001905877,Councilman/Councilwoman,SANDRA DUARTE - 22373 (PL),22 - PL,365,206,1,12,0.02,0.89
190001905878,Councilman/Councilwoman,ANDREA  DO CASTRINHO - 22100 (PL),22 - PL,1350,604,1,20,0.01,0.78
190001905879,Councilman/Councilwoman,LUCIA GAGLIASSO - 22200 (PL),22 - PL,3696,1089,1,58,0.02,1.44
190001905880,Councilman/Councilwoman,MARCELLO CAPPARELLI - 22800 (PL),22 - PL,1749,651,1,21,0.01,1.07
190001905881,Councilman/Councilwoman,INÊZ BELARMINO - 22003 (PL),22 - PL,683,271,1,54,0.01,5.01
190001905882,Councilman/Councilwoman,PEDRO VIANA - 22422 (PL),22 - PL,110,96,1,4,0.02,0.17
190001905883,Councilman/Councilwoman,PROFESSOR ROGERIO PIRES - 22580 (PL),22 - PL,1904,677,1,111,0.02,3.76
190001905884,Councilman/Councilwoman,RENATA MANFRENATE - 22888 (PL),22 - PL,932,458,1,14,0.01,0.9
190001905885,Councilman/Councilwoman,ROBERTO CID - 22456 (PL),22 - PL,907,359,1,41,0.02,1.68
190001905886,Councilman/Councilwoman,TIO DO CAFEZINHO - 22212 (PL),22 - PL,148,117,1,6,0.01,0.25
190001905887,Councilman/Councilwoman,CAROLINE AMORIM - 22224 (PL),22 - PL,565,268,1,20,0.01,0.99
190001905888,Councilman/Councilwoman,CHAGAS BOLA - 22190 (PL),22 - PL,11009,1272,1,206,0.02,8.88
190001905889,Councilman/Councilwoman,FERNANDO ARMELAU - 22322 (PL),22 - PL,14415,1386,1,68,0.03,2.54
190001905890,Councilman/Councilwoman,LÍLIA NUNES - 22070 (PL),22 - PL,8008,1308,1,57,0.02,2.34
190001909295,Councilman/Councilwoman,PROFESSOR MIMO - 20169 (PODE),20 - PODE,2625,328,1,636,0.02,21.44
190001909296,Councilman/Councilwoman,FELIPE SANTANA - 20220 (PODE),20 - PODE,697,206,1,71,0.02,3.64
190001909297,Councilman/Councilwoman,MELL TAMIOZZO - 20016 (PODE),20 - PODE,141,84,1,19,0.02,0.37
190001909298,Councilman/Councilwoman,RICARDO CHAPOLIM - 20567 (PODE),20 - PODE,637,308,1,29,0.01,2.12
190001909299,Councilman/Councilwoman,MARCELLE LUCAS - 20222 (PODE),20 - PODE,344,183,1,11,0.02,0.65
190001909300,Councilman/Councilwoman,ADRIANA PARRINI - 20040 (PODE),20 - PODE,371,168,1,44,0.02,1.68
190001909301,Councilman/Councilwoman,TUNINHO DA BICICLETA - 20121 (PODE),20 - PODE,527,70,1,92,0.02,2.89
190001909302,Councilman/Councilwoman,KELLY FERREIRA - 20020 (PODE),20 - PODE,1202,456,1,29,0.02,1.1
190001909303,Councilman/Councilwoman,PAULO FERREIRA - 20623 (PODE),20 - PODE,2877,185,1,405,0.02,19.91
190001909304,Councilman/Councilwoman,RICARDO OLIVEIRA - 20786 (PODE),20 - PODE,263,153,1,14,0.02,0.77
190001909305,Councilman/Councilwoman,GIGANTE DA SAÚDE - 20200 (PODE),20 - PODE,657,189,1,65,0.01,2.1
190001909306,Councilman/Councilwoman,SERGINHO LEGADO - 20244 (PODE),20 - PODE,3906,400,1,301,0.01,15.74
190001909307,Councilman/Councilwoman,JORGE CARDOSO DA FREGUESIA - 20060 (PODE),20 - PODE,218,72,1,21,0.02,0.77
190001909308,Councilman/Councilwoman,NENENGA DO MOTO TAXI - 20931 (PODE),20 - PODE,1995,235,1,173,0.02,9.33
190001909309,Councilman/Councilwoman,ALEX BRIZOLA - 20704 (PODE),20 - PODE,640,123,1,143,0.01,5.18
190001909310,Councilman/Councilwoman,ALVARO TITO - 20333 (PODE),20 - PODE,879,490,1,9,0.02,0.59
190001909311,Councilman/Councilwoman,TATIANA AGDA - 20888 (PODE),20 - PODE,144,115,1,5,0.02,0.29
190001909312,Councilman/Councilwoman,PROFESSOR VIEIRA - 20011 (PODE),20 - PODE,482,294,1,16,0.01,0.42
190001909313,Councilman/Councilwoman,LEIZA GARI - 20321 (PODE),20 - PODE,218,170,1,8,0.01,0.27
190001909314,Councilman/Councilwoman,LETÍCIA ARSENIO - 20123 (PODE),20 - PODE,3661,1080,1,31,0.02,1.57
190001909315,Councilman/Councilwoman,MARCIO GARCIA - 20100 (PODE),20 - PODE,2348,963,1,15,0.01,1.85
190001909316,Councilman/Councilwoman,MARCOS DIAS - 20000 (PODE),20 - PODE,16209,1210,1,365,0.02,13.9
190001909317,Councilman/Councilwoman,JC AUGUSTO CHAPOLIN - 20093 (PODE),20 - PODE,57,27,1,12,0.02,0.6
190001909318,Councilman/Councilwoman,JORGE TIMBA - 20335 (PODE),20 - PODE,275,64,1,91,0.01,2.73
190001909319,Councilman/Councilwoman,JOSIMAR FERREIRA - 20204 (PODE),20 - PODE,626,118,1,139,0.02,5.5
190001909320,Councilman/Councilwoman,MARCÃO BORGES O CARIOCA - 20777 (PODE),20 - PODE,421,245,1,12,0.01,0.36
190001909321,Councilman/Councilwoman,SOLANGE SOUZA - 20017 (PODE),20 - PODE,176,61,1,33,0.01,1.25
190001909322,Councilman/Councilwoman,CARLA COUT - 20212 (PODE),20 - PODE,144,83,1,15,0.02,0.51
190001909323,Councilman/Councilwoman,LUISINHO AMIGO DE TODOS - 20440 (PODE),20 - PODE,2801,485,1,283,0.02,6.64
190001909324,Councilman/Councilwoman,JOÃO DINIZ - 20021 (PODE),20 - PODE,3433,810,1,78,0.01,2.96
190001909325,Councilman/Councilwoman,JONATHAN DO SETE SETE - 20077 (PODE),20 - PODE,1526,219,1,320,0.02,12.68
190001909326,Councilman/Councilwoman,MESSIAS PQD - 20338 (PODE),20 - PODE,220,108,1,23,0.01,1.8
190001909327,Councilman/Councilwoman,OTACILIO FILHO - 20230 (PODE),20 - PODE,140,82,1,7,0.01,0.47
190001909329,Councilman/Councilwoman,TIA TÂNIA DA CRECHE - 20124 (PODE),20 - PODE,372,67,1,94,0.01,3.88
190001909330,Councilman/Councilwoman,CHRIS DA QUATRO PATINHAS - 20004 (PODE),20 - PODE,3696,1006,1,33,0.01,1.98
190001909331,Councilman/Councilwoman,MONIQUE ROCHA - 20010 (PODE),20 - PODE,753,213,1,260,0.02,7.67
190001909332,Councilman/Councilwoman,RAQUEL WICK - 20221 (PODE),20 - PODE,141,87,1,20,0.02,0.53
190001909333,Councilman/Councilwoman,CLAUDIN MORENO - 20555 (PODE),20 - PODE,189,144,1,11,0.02,0.73
190001909334,Councilman/Councilwoman,DIGUINHO - 20449 (PODE),20 - PODE,638,171,1,92,0.02,3.04
190001909335,Councilman/Councilwoman,KIKO - 20027 (PODE),20 - PODE,519,214,1,37,0.01,1.71
190001909336,Councilman/Councilwoman,MARIO ZEFERINO - 20111 (PODE),20 - PODE,808,247,1,76,0.01,2.45
190001909337,Councilman/Councilwoman,EDEVALDO OLIVEIRA - 20088 (PODE),20 - PODE,1265,424,1,96,0.01,6.97
190001909338,Councilman/Councilwoman,INGRID BARBOSA - 20209 (PODE),20 - PODE,589,249,1,23,0.02,1.67
190001909339,Councilman/Councilwoman,JAQUELINE TOVAH - 20444 (PODE),20 - PODE,93,71,1,5,0.02,0.31
190001909340,Councilman/Councilwoman,PROF ALEX RUBIM - 20271 (PODE),20 - PODE,424,196,1,39,0.02,1.23
190001909341,Councilman/Councilwoman,CLEITON DEU CERTO - 20773 (PODE),20 - PODE,3202,375,1,622,0.01,16.07
190001909342,Councilman/Councilwoman,FLORICENA LIMA - 20201 (PODE),20 - PODE,251,112,1,18,0.02,1.34
190001909343,Councilman/Councilwoman,PROF. MARCELO MARTINS - 20113 (PODE),20 - PODE,12223,1036,1,1553,0.01,25.62
190001909344,Councilman/Councilwoman,PROF JONATAS CASTELO BRANCO - 20500 (PODE),20 - PODE,3096,795,1,100,0.01,3.58
190001909345,Councilman/Councilwoman,DELEGADO DAVI RODRIGUES - 20035 (PODE),20 - PODE,1433,500,1,35,0.01,1.17
190001909346,Councilman/Councilwoman,FABIO SILVA - 20669 (PODE),20 - PODE,15846,1000,1,1531,0.02,51.87
190001950913,Councilman/Councilwoman,MAJOR PIRES VAZ - 33193 (MOBILIZA),33 - MOBILIZA,2362,865,1,38,0.01,1.63
190001950915,Councilman/Councilwoman,CANTOR CLAUDINHO MACIEL - 33810 (MOBILIZA),33 - MOBILIZA,283,131,1,25,0.02,0.8
190001950916,Councilman/Councilwoman,CLAYTON MOTTA - 33033 (MOBILIZA),33 - MOBILIZA,766,297,1,45,0.02,2.28
190001950917,Councilman/Councilwoman,PIJAMA DA ZONA OESTE - 33001 (MOBILIZA),33 - MOBILIZA,726,151,1,224,0.01,10.62
190001950918,Councilman/Councilwoman,CARLÃO DO BEM - 33015 (MOBILIZA),33 - MOBILIZA,110,57,1,10,0.01,0.39
190001950919,Councilman/Councilwoman,GILBERTO BARRETO O CODA - 33555 (MOBILIZA),33 - MOBILIZA,158,115,1,6,0.01,0.42
190001950920,Councilman/Councilwoman,LENILTON RODRIGUES - 33789 (MOBILIZA),33 - MOBILIZA,4953,1014,1,136,0.02,6.53
190001950921,Councilman/Councilwoman,BOMBEIRA MARA DA SAÚDE - 33000 (MOBILIZA),33 - MOBILIZA,345,211,1,19,0.02,0.56
190001950922,Councilman/Councilwoman,NIVEA SALGADO - 33003 (MOBILIZA),33 - MOBILIZA,1750,594,1,55,0.02,1.69
190001950923,Councilman/Councilwoman,FERNANDA MESQUITA - 33079 (MOBILIZA),33 - MOBILIZA,115,70,1,7,0.02,0.57
190001950924,Councilman/Councilwoman,BARRETO - 33317 (MOBILIZA),33 - MOBILIZA,93,70,1,12,0.02,0.6
190001950925,Councilman/Councilwoman,CHRIS DO POINT - 33068 (MOBILIZA),33 - MOBILIZA,31,25,1,3,0.02,0.19
190001950926,Councilman/Councilwoman,DUDA MECÂNICO - 33298 (MOBILIZA),33 - MOBILIZA,2145,333,1,495,0.02,20.82
190001950927,Councilman/Councilwoman,JARRO PIPAS - 33333 (MOBILIZA),33 - MOBILIZA,4430,1043,1,87,0.02,1.79
190001950928,Councilman/Councilwoman,PROF DANIEL VICTOR - 33007 (MOBILIZA),33 - MOBILIZA,121,81,1,8,0.02,0.44
190001950929,Councilman/Councilwoman,CB DE GUARATIBA - 33838 (MOBILIZA),33 - MOBILIZA,490,115,1,120,0.02,2.31
190001950930,Councilman/Councilwoman,LUIZ ANTONIO MATHIAS - 33207 (MOBILIZA),33 - MOBILIZA,129,81,1,13,0.02,0.46
190001950931,Councilman/Councilwoman,MARCO BALÃO - 33623 (MOBILIZA),33 - MOBILIZA,257,86,1,25,0.02,1.08
190001950932,Councilman/Councilwoman,DRA MARIA AMÉLIA - 33300 (MOBILIZA),33 - MOBILIZA,140,108,1,7,0.02,0.32
190001950933,Councilman/Councilwoman,PENHA DO VIEGAS - 33918 (MOBILIZA),33 - MOBILIZA,210,47,1,83,0.02,2.21
190001950934,Councilman/Councilwoman,ROBSON ANDRE - 33222 (MOBILIZA),33 - MOBILIZA,1467,638,1,32,0.02,2.47
190001950935,Councilman/Councilwoman,JOSELIA SILVA - 33800 (MOBILIZA),33 - MOBILIZA,56,41,1,7,0.02,0.2
190001950936,Councilman/Councilwoman,TIA LENA - 33006 (MOBILIZA),33 - MOBILIZA,376,110,1,55,0.02,3.86
190001950937,Councilman/Councilwoman,HENRIQUE SILVA DO ESPORTE - 33199 (MOBILIZA),33 - MOBILIZA,234,81,1,32,0.02,2.07
190001950938,Councilman/Councilwoman,JORGE SANTOS - 33633 (MOBILIZA),33 - MOBILIZA,212,135,1,9,0.02,0.32
190001950939,Councilman/Councilwoman,DR LEONARDO ARAGÃO - 33888 (MOBILIZA),33 - MOBILIZA,221,163,1,7,0.02,0.47
190001950940,Councilman/Councilwoman,CRISTIANO MORAIS - 33527 (MOBILIZA),33 - MOBILIZA,248,136,1,36,0.02,0.72
190001950941,Councilman/Councilwoman,HENRIQUE CABELUDO - 33232 (MOBILIZA),33 - MOBILIZA,243,140,1,25,0.01,0.74
190001950942,Councilman/Councilwoman,JORGE LEIBE - 33119 (MOBILIZA),33 - MOBILIZA,114,87,1,5,0.02,0.3
190001950943,Councilman/Councilwoman,PAULO FERNANDO - 33638 (MOBILIZA),33 - MOBILIZA,180,69,1,27,0.02,0.84
190001950944,Councilman/Councilwoman,FERRERINHA DO HOSPITAL - 33050 (MOBILIZA),33 - MOBILIZA,798,328,1,65,0.02,2.82
190001950945,Councilman/Councilwoman,LOURDINHA FRANÇA - 33733 (MOBILIZA),33 - MOBILIZA,146,95,1,11,0.02,0.23
190001950946,Councilman/Councilwoman,DIOGO NASCIMENTO - 33746 (MOBILIZA),33 - MOBILIZA,215,71,1,129,0.02,7.12
190001950947,Councilman/Councilwoman,JOSÉ EVERALDO - 33301 (MOBILIZA),33 - MOBILIZA,495,144,1,33,0.02,0.91
190001950948,Councilman/Councilwoman,LUCINHA DA FEIRA - 33627 (MOBILIZA),33 - MOBILIZA,249,133,1,15,0.02,0.67
190001950949,Councilman/Councilwoman,BENNY GUERREIRA - 33262 (MOBILIZA),33 - MOBILIZA,133,86,1,14,0.02,0.81
190001950950,Councilman/Councilwoman,MARCIO AMARAL - 33111 (MOBILIZA),33 - MOBILIZA,1329,373,1,61,0.01,1.99
190001950951,Councilman/Councilwoman,SONEKA RIBEIRO - 33816 (MOBILIZA),33 - MOBILIZA,1278,197,1,291,0.02,10.36
190001950952,Councilman/Councilwoman,JUAREZ WAILANTE - 33273 (MOBILIZA),33 - MOBILIZA,11,8,1,4,0.03,0.31
190001950953,Councilman/Councilwoman,JULIO GUERREIRO - 33023 (MOBILIZA),33 - MOBILIZA,922,169,1,117,0.01,4.61
190001950954,Councilman/Councilwoman,MONAYARA MARCIÃO - 33397 (MOBILIZA),33 - MOBILIZA,66,52,1,5,0.02,0.16
190001950955,Councilman/Councilwoman,NADIA AMANCIO - 33133 (MOBILIZA),33 - MOBILIZA,600,262,1,26,0.01,1.44
190001950956,Councilman/Councilwoman,PROFESSOR BRUNO NASCIMENTO - 33777 (MOBILIZA),33 - MOBILIZA,1192,472,1,34,0.01,2.96
190001950957,Councilman/Councilwoman,ALEX LELECO - 33223 (MOBILIZA),33 - MOBILIZA,340,135,1,34,0.02,1.33
190001950958,Councilman/Councilwoman,ALEXANDRE BATATA - 33773 (MOBILIZA),33 - MOBILIZA,1274,294,1,110,0.02,7.65
190001950959,Councilman/Councilwoman,CAMILA - 33249 (MOBILIZA),33 - MOBILIZA,42,24,1,4,0.02,0.17
190001950960,Councilman/Councilwoman,MARIA CARMEM - 33221 (MOBILIZA),33 - MOBILIZA,71,34,1,15,0.02,0.93
190001950961,Councilman/Councilwoman,MATHEUS GABRIEL - 33456 (MOBILIZA),33 - MOBILIZA,2496,639,1,166,0.01,3.09
190001950962,Councilman/Councilwoman,CLAUDIA AZEVEDO - 33021 (MOBILIZA),33 - MOBILIZA,120,75,1,9,0.02,0.49
190001950963,Councilman/Councilwoman,MARCO FURTADO - 33055 (MOBILIZA),33 - MOBILIZA,209,144,1,7,0.02,0.34
190001951101,Mayor,CYRO GARCIA - 16 (PSTU),16 - PSTU,2453,1009,1,13,0.01,0.72
190001951167,Mayor,CAROL SPONZA - 30 (NOVO),30 - NOVO,20351,1419,1,203,0.05,3.84
190001951488,Councilman/Councilwoman,CÍCERA MARIA - 22638 (PL),22 - PL,132,85,1,10,0.02,0.72
190001951489,Councilman/Councilwoman,CAPITÃO SÉRGIO ALEXANDRE - 22832 (PL),22 - PL,609,373,1,19,0.01,1.06
190001973562,Mayor,TARCÍSIO MOTTA - 50 (PSOL),50 - PSOL,129344,1432,1,666,0.5,15.75
190001985993,Councilman/Councilwoman,TOROCA PESCADOR - 77700 (SOLIDARIEDADE),77 - SOLIDARIEDADE,264,77,1,54,0.02,6.14
190001985994,Councilman/Councilwoman,PROFESSORA ANA LIMA - 77775 (SOLIDARIEDADE),77 - SOLIDARIEDADE,402,187,1,20,0.01,0.65
190001985995,Councilman/Councilwoman,PROFESSOR CHARBEL - 77001 (SOLIDARIEDADE),77 - SOLIDARIEDADE,8323,1245,1,186,0.02,8.27
190001985996,Councilman/Councilwoman,BRUNO PAI DA MARIA - 77318 (SOLIDARIEDADE),77 - SOLIDARIEDADE,25,20,1,2,0.02,0.21
190001985997,Councilman/Councilwoman,DANIEL MARTINS - 77200 (SOLIDARIEDADE),77 - SOLIDARIEDADE,7480,1186,1,147,0.02,5.15
190001985998,Councilman/Councilwoman,PEDROSA - 77666 (SOLIDARIEDADE),77 - SOLIDARIEDADE,203,111,1,15,0.02,0.67
190001985999,Councilman/Councilwoman,FABINHO FERNANDES - 77100 (SOLIDARIEDADE),77 - SOLIDARIEDADE,6175,1153,1,84,0.02,3.18
190001986000,Councilman/Councilwoman,SOLDADO TOBIAS - 77103 (SOLIDARIEDADE),77 - SOLIDARIEDADE,2940,930,1,23,0.02,1.07
190001986001,Councilman/Councilwoman,FRANCISCO FILHO CHIQUINHO - 77636 (SOLIDARIEDADE),77 - SOLIDARIEDADE,1355,131,1,311,0.02,6.36
190001986002,Councilman/Councilwoman,TIA GLAUCIA - 77085 (SOLIDARIEDADE),77 - SOLIDARIEDADE,445,242,1,14,0.01,0.61
190001986003,Councilman/Councilwoman,JULIO KBÇA - 77900 (SOLIDARIEDADE),77 - SOLIDARIEDADE,615,184,1,108,0.01,3.66
190001986004,Councilman/Councilwoman,XUXA DE COSTA BARROS - 77234 (SOLIDARIEDADE),77 - SOLIDARIEDADE,292,83,1,44,0.02,1.54
190001986005,Councilman/Councilwoman,LUCIANA TAMBURINI - 77021 (SOLIDARIEDADE),77 - SOLIDARIEDADE,277,182,1,8,0.02,0.59
190001986006,Councilman/Councilwoman,MESAC BOMBEIRO - 77193 (SOLIDARIEDADE),77 - SOLIDARIEDADE,3332,988,1,21,0.02,1.38
190001986007,Councilman/Councilwoman,SERGIO PARAFUSO - 77111 (SOLIDARIEDADE),77 - SOLIDARIEDADE,1186,408,1,73,0.01,6.16
190001986008,Councilman/Councilwoman,SUELI PONTES - 77412 (SOLIDARIEDADE),77 - SOLIDARIEDADE,621,267,1,47,0.01,1.06
190001986009,Councilman/Councilwoman,SANTOS DO SOCIAL - 77790 (SOLIDARIEDADE),77 - SOLIDARIEDADE,1016,174,1,250,0.02,8.18
190001986010,Councilman/Councilwoman,SARGENTO CAROLINA - 77035 (SOLIDARIEDADE),77 - SOLIDARIEDADE,303,189,1,7,0.02,0.56
190001986011,Councilman/Councilwoman,ELYANE SOUZA - 77520 (SOLIDARIEDADE),77 - SOLIDARIEDADE,278,126,1,21,0.01,0.8
190001986012,Councilman/Councilwoman,ALMIR NAPOLEAO DO ÁUREO - 77033 (SOLIDARIEDADE),77 - SOLIDARIEDADE,3460,691,1,201,0.02,9.02
190001986013,Councilman/Councilwoman,ANDRÉ RIOS - 77190 (SOLIDARIEDADE),77 - SOLIDARIEDADE,1507,734,1,11,0.02,0.8
190001986014,Councilman/Councilwoman,BIA AQUINO - 77345 (SOLIDARIEDADE),77 - SOLIDARIEDADE,1574,713,1,36,0.02,0.78
190001986015,Councilman/Councilwoman,BRUNO RODRIGUES - 77448 (SOLIDARIEDADE),77 - SOLIDARIEDADE,182,101,1,26,0.01,0.95
190001986016,Councilman/Councilwoman,CAIO LOPES - 77999 (SOLIDARIEDADE),77 - SOLIDARIEDADE,508,198,1,90,0.01,2.93
190001986017,Councilman/Councilwoman,NATASHA LOBA - 77044 (SOLIDARIEDADE),77 - SOLIDARIEDADE,227,134,1,20,0.01,0.85
190001986018,Councilman/Councilwoman,ELIAS LIBORIO - 77012 (SOLIDARIEDADE),77 - SOLIDARIEDADE,469,211,1,33,0.01,1.05
190001986019,Councilman/Councilwoman,GABRIEL JUNIOR - 77135 (SOLIDARIEDADE),77 - SOLIDARIEDADE,520,289,1,12,0.02,0.49
190001986020,Councilman/Councilwoman,DR GILBERTO - 77123 (SOLIDARIEDADE),77 - SOLIDARIEDADE,13312,1026,1,583,0.01,18.57
190001986021,Councilman/Councilwoman,JAIMINHO LOPES - 77444 (SOLIDARIEDADE),77 - SOLIDARIEDADE,2354,366,1,105,0.02,4.1
190001986022,Councilman/Councilwoman,MIGUEL PQD - 77620 (SOLIDARIEDADE),77 - SOLIDARIEDADE,437,133,1,79,0.01,3.27
190001986023,Councilman/Councilwoman,BISPO JUNIOR - 77137 (SOLIDARIEDADE),77 - SOLIDARIEDADE,838,267,1,31,0.01,1.06
190001986024,Councilman/Councilwoman,PEDRO DO LIVRO - 77133 (SOLIDARIEDADE),77 - SOLIDARIEDADE,8062,1141,1,944,0.02,28.45
190001986025,Councilman/Councilwoman,RICARDO DO MATERIAL - 77023 (SOLIDARIEDADE),77 - SOLIDARIEDADE,1829,342,1,313,0.01,12.26
190001986026,Councilman/Councilwoman,VALDERI RAVI S - 77777 (SOLIDARIEDADE),77 - SOLIDARIEDADE,3317,708,1,419,0.02,13.75
190001986027,Councilman/Councilwoman,ALEXANDRE BATISTA - 77888 (SOLIDARIEDADE),77 - SOLIDARIEDADE,1691,506,1,102,0.01,3.37
190001986028,Councilman/Councilwoman,ANA LUCIA CARVALHO - 77687 (SOLIDARIEDADE),77 - SOLIDARIEDADE,231,123,1,15,0.02,0.99
190001986029,Councilman/Councilwoman,ARTHUR DA COSTA - 77789 (SOLIDARIEDADE),77 - SOLIDARIEDADE,846,316,1,52,0.01,1.65
190001986030,Councilman/Councilwoman,CHICO DEDEL - 77987 (SOLIDARIEDADE),77 - SOLIDARIEDADE,392,151,1,61,0.02,2.32
190001986031,Councilman/Councilwoman,LILIAM SA - 77122 (SOLIDARIEDADE),77 - SOLIDARIEDADE,478,298,1,14,0.02,0.72
190001986032,Councilman/Councilwoman,OLIVIA STENZEL - 77977 (SOLIDARIEDADE),77 - SOLIDARIEDADE,126,88,1,7,0.02,0.4
190001986033,Councilman/Councilwoman,PATRICIA CARDOSO - 77002 (SOLIDARIEDADE),77 - SOLIDARIEDADE,551,294,1,20,0.01,0.72
190001986034,Councilman/Councilwoman,SERGIO NEGUINHO - 77088 (SOLIDARIEDADE),77 - SOLIDARIEDADE,2075,282,1,625,0.02,10.56
190001986035,Councilman/Councilwoman,ALEXANDRE KATITO - 77717 (SOLIDARIEDADE),77 - SOLIDARIEDADE,577,194,1,67,0.02,3.07
190001986036,Councilman/Councilwoman,ANDREA ARAUJO - 77003 (SOLIDARIEDADE),77 - SOLIDARIEDADE,106,80,1,5,0.02,0.81
190001986037,Councilman/Councilwoman,CLAYTON FERREIRA - 77007 (SOLIDARIEDADE),77 - SOLIDARIEDADE,2141,697,1,70,0.02,3.85
190001986038,Councilman/Councilwoman,DIOGO CERQUEIRA - 77808 (SOLIDARIEDADE),77 - SOLIDARIEDADE,80,56,1,5,0.02,0.39
190001986039,Councilman/Councilwoman,KAKA VEM AI - 77000 (SOLIDARIEDADE),77 - SOLIDARIEDADE,1338,266,1,161,0.02,10.15
190001986040,Councilman/Councilwoman,MARCELLA CIGANA - 77770 (SOLIDARIEDADE),77 - SOLIDARIEDADE,1064,330,1,133,0.01,4.51
190001986041,Councilman/Councilwoman,RAFAEL SORRILHA - 77677 (SOLIDARIEDADE),77 - SOLIDARIEDADE,11460,1071,1,285,0.02,11.06
